,PROCEDIMENTO,DURACAO_ANESTESIA
45,REDUCAO INCRUENTA DE FRATURA E FRATURA-LUXACAO AO NIVEL DA CINTURA ESCAPULAR,15.0
46,REDUCAO INCRUENTA DE LUXACAO / FRATURA-LUXACAO DO JOELHO,42.0
47,REDUCAO INCRUENTA DE LUXACAO FEMURO-PATELAR,20.0
48,REDUCAO INCRUENTA DE LUXAÇÃO OU FRATURA / LUXAÇÃO ESCÁPULO-UMERAL,31.005555555555556
49,REDUÇAO INCRUENTA DE FRATURA / LESÃO FISARIA DO EXTREMO PROXIMAL DO ÚMERO,27.0
50,REDUÇÃO INCRUENTA C/ MANIPULAÇÃO DE LUXAÇÃO ESPONTANEA / PROGRESSIVA DO QUADRIL COM APLICAÇÃO DE DISPOSITIVOS DE CONTENÇÃO,29.28939393939394
51,REDUÇÃO INCRUENTA DE FRATURA / LESÃO FISARIA DE COTOVELO,51.5
52,REDUÇÃO INCRUENTA DE FRATURA / LESÃO FISARIA NO PUNHO,25.64166666666667
53,REDUÇÃO INCRUENTA DE FRATURA DIAFISARIA DOS OSSOS DO ANTEBRAÇO,32.67
54,REDUÇÃO INCRUENTA DE FRATURA DOS METACARPIANOS,51.66666666666667
55,REDUÇÃO INCRUENTA DE LUXAÇÃO / FRATURA-LUXAÇÃO DO COTOVELO,32.5
56,REDUÇÃO INCRUENTA DE LUXAÇÃO COXOFEMORAL TRAUMÁTICA / PÓS-ARTROPLASTIA,33.08518518518518
57,REDUÇÃO INCRUENTA DE LUXAÇÃO OU FRATURA / LUXACAO NO PUNHO,33.64770114942529
58,REDUÇÃO INCRUENTA DISJUNÇÃO / LUXAÇÃO / FRATURA / FRATURA-LUXAÇÃO AO NÍVEL DO ANEL PÉLVICO,36.5
59,REPARO DE BAINHA TENDINOSA AO NIVEL DO TORNOZELO,27.0
60,RESSECÇÃO DO OLECRANO E/OU CABEÇA DO RÁDIO,205.0
61,RETIRADA DE CORPO ESTRANHO INTRA-ARTICULAR,26.666666666666668
62,RETIRADA DE CORPO ESTRANHO INTRA-ÓSSEO,38.4
63,RETIRADA DE CORPO ESTRANHO SUBCUTANEO,30.936111111111114
64,RETIRADA DE ESPAÇADORES / OUTROS MATERIAIS,47.75
65,RETIRADA DE FIO OU PINO INTRA-ÓSSEO,33.24861111111111
66,RETIRADA DE FIXADOR EXTERNO,29.21296296296296
67,RETIRADA DE MATERIAL DE SÍNTESE ÓSSEA / DENTÁRIA,21.8
68,RETIRADA DE PLACA E/OU PARAFUSOS,33.67621951219512
69,SUTURA DE CORNEA,15.0
70,TENOMIORRAFIA,48.64916666666667
71,TENOMIOTOMIA / DESINSERÇÃO,20.116666666666667
72,TENOPLASTIA OU ENXERTO DE TENDÃO UNICO,21.05925925925926
73,TENORRAFIA ÚNICA EM TÚNEL OSTEO-FIBROSO,46.85833333333333
74,TORACOSTOMIA COM DRENAGEM PLEURAL FECHADA,44.0
75,TRANSPLANTE DO SEGUNDO PODODÁCTILO P/ POLEGAR / QUALQUER OUTRO DEDO DA MÃO,35.0
76,TRANSPOSICAO DA FIBULA PARA A TIBIA,31.0
77,TRANSPOSIÇÃO DA ULNA PARA O RÁDIO,20.516666666666666
78,TRATAMENTO CIRURGICO DAS DESINSERCOES DAS ESPINHAS INTERCONDILARES / EPICONDILARES,40.464285714285715
79,TRATAMENTO CIRURGICO DE FRATURA / LESAO FISARIA DE OSSOS DO MEDIO-PE,28.0
80,TRATAMENTO CIRURGICO DE FRATURA / LESAO FISARIA DOS METATARSIANOS,36.11222222222223
81,TRATAMENTO CIRURGICO DE FRATURA / LESAO FISARIA DOS PODODACTILOS,28.2875
82,TRATAMENTO CIRURGICO DE FRATURA / LESAO FISARIA PROXIMAL (COLO) DO FEMUR (SINTESE),32.70268817204301
83,TRATAMENTO CIRURGICO DE LESOES EXTENSAS C/ PERDA DE SUBSTANCIA CUTANEA,20.0
84,TRATAMENTO CIRURGICO DE LUXACAO / FRATURA-LUXACAO ACROMIO-CLAVICULAR,30.222619047619048
85,TRATAMENTO CIRURGICO DE LUXACAO / FRATURA-LUXACAO ESCAPULO-UMERAL AGUDA,27.770833333333332
86,TRATAMENTO CIRURGICO DE LUXACAO / FRATURA-LUXACAO ESTERNO-CLAVICULAR,33.5
87,TRATAMENTO CIRURGICO DE LUXACAO COXO-FEMORAL TRAUMATICA / POS-ARTROPLASTIA,25.0
88,TRATAMENTO CIRURGICO DE LUXACAO ESPONTANEA / PROGRESSIVA / PARALITICA DO QUADRIL,34.0
89,TRATAMENTO CIRURGICO DE PAREDE TORACICA,33.5
90,TRATAMENTO CIRURGICO DE RETARDO DE CONSOLIDACAO DA PSEUDARTROSE DE CLAVICULA / ESCAPULA,32.0
91,TRATAMENTO CIRURGICO EM POLITRAUMATIZADO,15.2
92,TRATAMENTO CIRURGICO P/ REPARACOES DE PERDA DE SUBSTANCIA DA MAO,23.825
93,TRATAMENTO CIRÚGICO DE FRATURA DA DIÁFISE DO ÚMERO,35.79824561403509
94,TRATAMENTO CIRÚRGICO DE ARTRITE INFECCIOSA (GRANDES E MÉDIAS ARTICULAÇÕES),35.0
95,TRATAMENTO CIRÚRGICO DE ARTRITE INFECCIOSA DAS PEQUENAS ARTICULAÇÕES,20.0
96,TRATAMENTO CIRÚRGICO DE ASSOCIAÇÃO FRATURA / LUXAÇÃO / FRATURA-LUXAÇÃO / DISJUNÇÃO DO ANEL PÉLVICO,32.85
97,TRATAMENTO CIRÚRGICO DE DEDO EM MARTELO / EM GARRA (MÃO E PÉ),30.34276315789474
98,TRATAMENTO CIRÚRGICO DE DEFORMIDADE DA COLUNA VIA ANTERIOR TRÊS NÍVEIS,23.0
99,TRATAMENTO CIRÚRGICO DE FRATURA / LESÃO FISARIA DA EXTREMIDADE PROXIMAL DO UMERO,40.25185185185185
100,TRATAMENTO CIRÚRGICO DE FRATURA / LESÃO FISARIA DAS FALANGES DA MÃO (COM FIXAÇÃO),50.68699763593381
101,TRATAMENTO CIRÚRGICO DE FRATURA / LESÃO FISARIA DE EPI~CÔNDILO / EPITROCLEA DO ÚMERO,20.0
102,TRATAMENTO CIRÚRGICO DE FRATURA / LESÃO FISARIA DO CÔNDILO / TRÓCLEA/APOFISE CORONÓIDE DO ULNA / CABEÇA DO RÁDIO,25.143333333333334
103,TRATAMENTO CIRÚRGICO DE FRATURA / LESÃO FISARIA DOS METACARPIANOS,28.157552083333332
104,TRATAMENTO CIRÚRGICO DE FRATURA / LESÃO FISARIA SUPRACONDILIANA DO ÚMERO,30.78
105,TRATAMENTO CIRÚRGICO DE FRATURA / LUXAÇÃO / FRATURA-LUXAÇÃO / DISJUNÇÃO DO ANEL PÉLVICO ANTERO-POSTERIOR,52.5
106,TRATAMENTO CIRÚRGICO DE FRATURA / LUXAÇÃO COXOFEMORAL C/ FRATURA DA EPÍFISE FEMORAL,5.0
107,TRATAMENTO CIRÚRGICO DE FRATURA BIMALEOLAR / TRIMALEOLAR / DA FRATURA-LUXAÇÃO DO TORNOZELO,32.915962441314555
108,TRATAMENTO CIRÚRGICO DE FRATURA DA CLAVÍCULA,69.42995495495495
109,TRATAMENTO CIRÚRGICO DE FRATURA DA DIÁFISE DA TÍBIA,38.6359243697479
110,TRATAMENTO CIRÚRGICO DE FRATURA DA DIÁFISE DO FÊMUR,32.459635416666664
111,TRATAMENTO CIRÚRGICO DE FRATURA DA EXTREMIDADE / METÁFISE DISTAL DOS OSSOS DO ANTEBRAÇO,51.34145299145299
112,TRATAMENTO CIRÚRGICO DE FRATURA DA PATELA POR FIXAÇÃO INTERNA,34.06979166666667
113,TRATAMENTO CIRÚRGICO DE FRATURA DE EXTREMIDADES / METÁFISE PROXIMAL DOS OSSOS DO ANTEBRAÇO,27.5
114,TRATAMENTO CIRÚRGICO DE FRATURA DIAFISARIA DE AMBOS OS OSSOS DO ANTEBRAÇO (C/ SINTESE),29.722348484848485
115,TRATAMENTO CIRÚRGICO DE FRATURA DIAFISARIA ÚNICA DO RÁDIO / DA ULNA,35.58842975206611
116,TRATAMENTO CIRÚRGICO DE FRATURA DO ACETÁBULO,304.0366666666667
117,TRATAMENTO CIRÚRGICO DE FRATURA DO CALCÂNEO,33.30833333333333
118,TRATAMENTO CIRÚRGICO DE FRATURA DO PILÃO TIBIAL,33.444736842105264
119,TRATAMENTO CIRÚRGICO DE FRATURA DO PLANALTO TIBIAL,32.41713947990544
120,TRATAMENTO CIRÚRGICO DE FRATURA DO TALUS,28.333333333333332
121,TRATAMENTO CIRÚRGICO DE FRATURA DO TORNOZELO UNIMALEOLAR,31.16740412979351
122,TRATAMENTO CIRÚRGICO DE FRATURA INTERCONDILEANA / DOS CÔNDILOS DO FÊMUR,149.4287878787879
123,TRATAMENTO CIRÚRGICO DE FRATURA LESÃO FISARIA DOS OSSOS DO ANTEBRAÇO,28.890384615384612
124,TRATAMENTO CIRÚRGICO DE FRATURA LESÃO FISÁRIA AO NÍVEL DO JOELHO,39.5
125,TRATAMENTO CIRÚRGICO DE FRATURA LESÃO FISÁRIA DISTAL DE TÍBIA,78.05897435897435
126,TRATAMENTO CIRÚRGICO DE FRATURA SUBTROCANTERIANA,35.170370370370364
127,TRATAMENTO CIRÚRGICO DE FRATURA SUPRACONDILEANA DO FÊMUR (METÁFISE DISTAL),26.40416666666667
128,TRATAMENTO CIRÚRGICO DE FRATURA TRANSTROCANTERIANA,31.431205673758864
129,TRATAMENTO CIRÚRGICO DE FRATURA VICIOSAMENTE CONSOLIDADA DOS OSSOS LONGOS EXCETO DA MÃO E DO PÉ,0.0
130,TRATAMENTO CIRÚRGICO DE FRATURA-LUXAÇÃO DA ARTICULAÇÃO COXOFEMORAL (DUPLO ACESSO),1.0
131,TRATAMENTO CIRÚRGICO DE FRATURA-LUXAÇÃO DE GALEAZZI / MONTEGGIA / ESSEX-LOPRESTI,23.89166666666667
132,TRATAMENTO CIRÚRGICO DE FRATURAS DOS OSSOS DO CARPO,36.5
133,TRATAMENTO CIRÚRGICO DE HALUX VALGUS C/ OSTEOTOMIA DO PRIMEIRO OSSO METATARSIANO,28.619999999999997
134,TRATAMENTO CIRÚRGICO DE LESÃO AGUDA CAPSULO-LIGAMENTAR DO MEMBRO SUPERIOR: COTOVELO / PUNHO,38.16555555555556
135,TRATAMENTO CIRÚRGICO DE LESÃO AGUDA CAPSULO-LIGAMENTAR MEMBRO INFERIOR (JOELHO / TORNOZELO),37.67916666666667
136,TRATAMENTO CIRÚRGICO DE LESÃO DA MUSCULATURA INTRÍNSECA DA MÃO,5.0
137,TRATAMENTO CIRÚRGICO DE LUXAÇÃO / FRATURA-LUXACAO DOS OSSOS DO CARPO,34.79333333333333
138,TRATAMENTO CIRÚRGICO DE LUXAÇÃO / FRATURA-LUXAÇÃO AO NÍVEL DO JOELHO,32.47857142857143
139,TRATAMENTO CIRÚRGICO DE LUXAÇÃO / FRATURA-LUXAÇÃO CARPO-METACARPIANA,32.549612403100774
140,TRATAMENTO CIRÚRGICO DE LUXAÇÃO / FRATURA-LUXAÇÃO METACARPO-FALANGIANA,34.15238095238095
141,TRATAMENTO CIRÚRGICO DE LUXAÇÃO / FRATURA-LUXAÇÃO METATARSO INTER-FALANGEANA,30.57986111111111
142,TRATAMENTO CIRÚRGICO DE LUXAÇÃO / FRATURA-LUXAÇÃO METATARSO-FALANGIANA / INTER-FALANGIANA,31.809523809523807
143,TRATAMENTO CIRÚRGICO DE LUXAÇÃO / FRATURA-LUXAÇÃO SUBTALAR E INTRA-TARSICA,51.0
144,TRATAMENTO CIRÚRGICO DE LUXAÇÃO / FRATURA-LUXAÇÃO TARSO-METATARSICA,31.2
145,TRATAMENTO CIRÚRGICO DE LUXAÇÃO OU FRATURA-LUXAÇÃO DO COTOVELO,30.802
146,TRATAMENTO CIRÚRGICO DE METATARSO PRIMO VARO,33.53333333333333
147,TRATAMENTO CIRÚRGICO DE MÃO OU PÉ EM FENDA / DEDO BÍFIDO / MACRODACTILIA / POLIDACTILIA,32.5
148,TRATAMENTO CIRÚRGICO DE PSEUDARTROSE / RETARDO DE CONSOLIDAÇÃO / PERDA ÓSSEA DA DIÁFISE DO FÊMUR,17.5
149,TRATAMENTO CIRÚRGICO DE PSEUDARTROSE / RETARDO DE CONSOLIDAÇÃO / PERDA ÓSSEA DA DIÁFISE TIBIAL,20.2
150,TRATAMENTO CIRÚRGICO DE PSEUDARTROSE / RETARDO DE CONSOLIDAÇÃO / PERDA ÓSSEA DA MÃO,40.0
151,TRATAMENTO CIRÚRGICO DE PSEUDARTROSE / RETARDO DE CONSOLIDAÇÃO / PERDA ÓSSEA DO ANTEBRAÇO,29.5
152,TRATAMENTO CIRÚRGICO DE PSEUDARTROSE / RETARDO DE CONSOLIDAÇÃO / PERDA ÓSSEA DO ÚMERO,25.0
153,TRATAMENTO CIRÚRGICO DE PSEUDARTROSE / RETARDO DE CONSOLIDAÇÃO/ PERDA ÓSSEA DA METÁFISE TIBIAL,40.81666666666667
154,TRATAMENTO CIRÚRGICO DE PSEUDARTROSE NA REGIÃO METAFISE-EPIFISÁRIA DISTAL DO RÁDIO E ULNA,36.66388888888889
155,TRATAMENTO CIRÚRGICO DE ROTURA / DESINSERÇÃO / ARRANCAMENTO CAPSULO-TENO-LIGAMENTAR NA MÃO,25.0
156,TRATAMENTO CIRÚRGICO DE ROTURA DE MENISCO COM SUTURA MENISCAL UNI / BICOMPATIMENTAL,31.105555555555554
157,TRATAMENTO CIRÚRGICO DE ROTURA DO MENISCO COM MENISCECTOMIA PARCIAL / TOTAL,30.839855072463767
158,TRATAMENTO CIRÚRGICO DE RUTURA DO APARELHO EXTENSOR DO DEDO,34.8
159,TRATAMENTO CIRÚRGICO DE SINDACTILIA DA MÃO (POR ESPACO INTERDIGITAL),45.0
160,TRATAMENTO CIRÚRGICO DE SINOSTOSE RÁDIO ULNAR,40.0
161,TRATAMENTO CIRÚRGICO DO HALUX RIGIDUS,40.0
162,TRATAMENTO CIRÚRGICO DO HALUX VALGUS S/ OSTEOTOMIA DO PRIMEIRO OSSO METATARSIANO,10.183333333333334
163,TRATAMENTO CIRÚRGICO P/ CENTRALIZAÇÃO DO PUNHO,32.88066666666666
164,TRATAMENTO CONSERVADOR DE FRATURA / LESAO LIGAMENTAR / ARRANCAMENTO OSSEO AO NIVEL DA PELVE,25.170833333333334
165,TRATAMENTO CONSERVADOR DE FRATURA DE PUNHO COM LUVA GESSADA,30.0
166,TRATAMENTO CONSERVADOR DE FRATURA EM MEMBRO INFERIOR COM IMOBILIZAÇÃO,30.0
167,TRATAMENTO DAS LESÕES OSTEO-CONDRAIS POR FIXAÇÃO OU MOSAICOPLASTIA JOELHO/TORNOZELO,34.8375
168,VIDEOARTROSCOPIA,25.0
