,PROCEDIMENTO,DURACAO_CIRURGIA
23,REDUÇÃO INCRUENTA DE FRATURA DIAFISARIA DOS OSSOS DO ANTEBRAÇO,70.0
24,REDUÇÃO INCRUENTA DE LUXAÇÃO / FRATURA-LUXAÇÃO DO COTOVELO,20.0
25,REDUÇÃO INCRUENTA DE LUXAÇÃO COXOFEMORAL TRAUMÁTICA / PÓS-ARTROPLASTIA,33.333333333333336
26,REDUÇÃO INCRUENTA DE LUXAÇÃO OU FRATURA / LUXACAO NO PUNHO,52.81111111111111
27,RESSECÇÃO DE CISTO SINOVIAL,731.425
28,RESSECÇÃO DO OLECRANO E/OU CABEÇA DO RÁDIO,26.0
29,RETIRADA DE CORPO ESTRANHO INTRA-ÓSSEO,25.0
30,RETIRADA DE ESPAÇADORES / OUTROS MATERIAIS,49.3
31,RETIRADA DE FIO OU PINO INTRA-ÓSSEO,55.210606060606054
32,RETIRADA DE FIXADOR EXTERNO,66.15555555555555
33,RETIRADA DE MATERIAL DE SÍNTESE ÓSSEA / DENTÁRIA,15.0
34,RETIRADA DE PLACA E/OU PARAFUSOS,63.59166666666667
35,REVISAO CIRURGICA DE COTO DE AMPUTACAO EM MEMBRO INFERIOR (EXCETO DEDOS DO PE),5.083333333333333
36,REVISÃO CIRÚRGICA DE COTO DE AMPUTAÇÃO DOS DEDOS,17.0
37,TENOMIORRAFIA,64.76439393939394
38,TENOPLASTIA OU ENXERTO DE TENDÃO UNICO,57.46
39,TENORRAFIA ÚNICA EM TÚNEL OSTEO-FIBROSO,128.91666666666666
40,TENÓLISE,32.28333333333333
41,TRANSFERENCIA MUSCULAR / TENDINOSA NO MEMBRO INFERIOR,11.0
42,TRANSPOSIÇÃO / TRANSFERÊNCIA MIOTENDINOSA MÚLTIPLA,25.0
43,TRATAMENTO CIRURGICO DE FRATURA / LESAO FISARIA DE OSSOS DO MEDIO-PE,43.666666666666664
44,TRATAMENTO CIRURGICO DE FRATURA / LESAO FISARIA DOS METATARSIANOS,79.06111111111112
45,TRATAMENTO CIRURGICO DE FRATURA / LESAO FISARIA DOS PODODACTILOS,122.83333333333331
46,TRATAMENTO CIRURGICO DE FRATURA / LESAO FISARIA PROXIMAL (COLO) DO FEMUR (SINTESE),29.18
47,TRATAMENTO CIRURGICO DE LUXACAO / FRATURA-LUXACAO ACROMIO-CLAVICULAR,42.0
48,TRATAMENTO CIRURGICO DE LUXACAO / FRATURA-LUXACAO ESTERNO-CLAVICULAR,68.0
49,TRATAMENTO CIRURGICO DE LUXACAO COXO-FEMORAL TRAUMATICA / POS-ARTROPLASTIA,60.18333333333333
50,TRATAMENTO CIRURGICO DE LUXACAO ESPONTANEA / PROGRESSIVA / PARALITICA DO QUADRIL,54.525000000000006
51,TRATAMENTO CIRURGICO DE RETARDO DE CONSOLIDACAO DA PSEUDARTROSE DE CLAVICULA / ESCAPULA,35.0
52,TRATAMENTO CIRURGICO P/ REPARACOES DE PERDA DE SUBSTANCIA DA MAO,113.6
53,TRATAMENTO CIRÚGICO DE FRATURA DA DIÁFISE DO ÚMERO,64.26666666666667
54,TRATAMENTO CIRÚRGICO DA AVULSÃO DE TUBEROSIDADES / ESPINHAS E CRISTA ILÍACA S/ LESÃO DO ANEL PÉLVICO,38.25555555555555
55,TRATAMENTO CIRÚRGICO DE ARTRITE INFECCIOSA (GRANDES E MÉDIAS ARTICULAÇÕES),100.0
56,TRATAMENTO CIRÚRGICO DE DEDO EM MARTELO / EM GARRA (MÃO E PÉ),81.34166666666667
57,TRATAMENTO CIRÚRGICO DE FRATURA / LESÃO FISARIA DAS FALANGES DA MÃO (COM FIXAÇÃO),58.767816091954025
58,TRATAMENTO CIRÚRGICO DE FRATURA / LESÃO FISARIA DO CÔNDILO / TRÓCLEA/APOFISE CORONÓIDE DO ULNA / CABEÇA DO RÁDIO,48.0
59,TRATAMENTO CIRÚRGICO DE FRATURA / LESÃO FISARIA DOS METACARPIANOS,61.346428571428575
60,TRATAMENTO CIRÚRGICO DE FRATURA / LESÃO FISARIA SUPRACONDILIANA DO ÚMERO,54.0
61,TRATAMENTO CIRÚRGICO DE FRATURA / LUXAÇÃO / FRATURA-LUXAÇÃO / DISJUNÇÃO DO ANEL PÉLVICO ANTERO-POSTERIOR,40.0
62,TRATAMENTO CIRÚRGICO DE FRATURA BIMALEOLAR / TRIMALEOLAR / DA FRATURA-LUXAÇÃO DO TORNOZELO,52.83242424242424
63,TRATAMENTO CIRÚRGICO DE FRATURA DA CLAVÍCULA,70.34166666666667
64,TRATAMENTO CIRÚRGICO DE FRATURA DA DIÁFISE DA TÍBIA,99.07587719298245
65,TRATAMENTO CIRÚRGICO DE FRATURA DA DIÁFISE DO FÊMUR,62.766666666666666
66,TRATAMENTO CIRÚRGICO DE FRATURA DA EXTREMIDADE / METÁFISE DISTAL DOS OSSOS DO ANTEBRAÇO,51.39090909090909
67,TRATAMENTO CIRÚRGICO DE FRATURA DA PATELA POR FIXAÇÃO INTERNA,66.44444444444444
68,TRATAMENTO CIRÚRGICO DE FRATURA DE EXTREMIDADES / METÁFISE PROXIMAL DOS OSSOS DO ANTEBRAÇO,94.88333333333334
69,TRATAMENTO CIRÚRGICO DE FRATURA DIAFISARIA DE AMBOS OS OSSOS DO ANTEBRAÇO (C/ SINTESE),58.154999999999994
70,TRATAMENTO CIRÚRGICO DE FRATURA DIAFISARIA ÚNICA DO RÁDIO / DA ULNA,69.81666666666668
71,TRATAMENTO CIRÚRGICO DE FRATURA DO ACETÁBULO,55.0
72,TRATAMENTO CIRÚRGICO DE FRATURA DO CALCÂNEO,57.84097222222223
73,TRATAMENTO CIRÚRGICO DE FRATURA DO PILÃO TIBIAL,69.39102564102565
74,TRATAMENTO CIRÚRGICO DE FRATURA DO PLANALTO TIBIAL,58.75
75,TRATAMENTO CIRÚRGICO DE FRATURA DO TALUS,37.59761904761905
76,TRATAMENTO CIRÚRGICO DE FRATURA DO TORNOZELO UNIMALEOLAR,46.925
77,TRATAMENTO CIRÚRGICO DE FRATURA LESÃO FISARIA DOS OSSOS DO ANTEBRAÇO,57.99880952380953
78,TRATAMENTO CIRÚRGICO DE FRATURA LESÃO FISÁRIA AO NÍVEL DO JOELHO,93.0
79,TRATAMENTO CIRÚRGICO DE FRATURA LESÃO FISÁRIA DISTAL DE TÍBIA,50.516666666666666
80,TRATAMENTO CIRÚRGICO DE FRATURA SUPRACONDILEANA DO FÊMUR (METÁFISE DISTAL),33.5
81,TRATAMENTO CIRÚRGICO DE FRATURA TRANSTROCANTERIANA,81.40208333333334
82,TRATAMENTO CIRÚRGICO DE FRATURA VICIOSAMENTE CONSOLIDADA DOS OSSOS LONGOS EXCETO DA MÃO E DO PÉ,35.0
83,TRATAMENTO CIRÚRGICO DE FRATURA-LUXAÇÃO DA ARTICULAÇÃO COXOFEMORAL (DUPLO ACESSO),28.28888888888889
84,TRATAMENTO CIRÚRGICO DE HALUX VALGUS C/ OSTEOTOMIA DO PRIMEIRO OSSO METATARSIANO,64.83589743589744
85,TRATAMENTO CIRÚRGICO DE LESÃO AGUDA CAPSULO-LIGAMENTAR DO MEMBRO SUPERIOR: COTOVELO / PUNHO,43.44444444444444
86,TRATAMENTO CIRÚRGICO DE LESÃO AGUDA CAPSULO-LIGAMENTAR MEMBRO INFERIOR (JOELHO / TORNOZELO),35.825
87,TRATAMENTO CIRÚRGICO DE LUXAÇÃO / FRATURA-LUXACAO DOS OSSOS DO CARPO,120.63333333333334
88,TRATAMENTO CIRÚRGICO DE LUXAÇÃO / FRATURA-LUXAÇÃO AO NÍVEL DO JOELHO,29.33333333333333
89,TRATAMENTO CIRÚRGICO DE LUXAÇÃO / FRATURA-LUXAÇÃO CARPO-METACARPIANA,46.8
90,TRATAMENTO CIRÚRGICO DE LUXAÇÃO / FRATURA-LUXAÇÃO METACARPO-FALANGIANA,57.170370370370364
91,TRATAMENTO CIRÚRGICO DE LUXAÇÃO / FRATURA-LUXAÇÃO METATARSO INTER-FALANGEANA,55.0
92,TRATAMENTO CIRÚRGICO DE LUXAÇÃO / FRATURA-LUXAÇÃO METATARSO-FALANGIANA / INTER-FALANGIANA,76.5
93,TRATAMENTO CIRÚRGICO DE LUXAÇÃO / FRATURA-LUXAÇÃO TARSO-METATARSICA,8.866666666666667
94,TRATAMENTO CIRÚRGICO DE LUXAÇÃO OU FRATURA-LUXAÇÃO DO COTOVELO,61.71
95,TRATAMENTO CIRÚRGICO DE PSEUDARTROSE / RETARDO DE CONSOLIDAÇÃO / PERDA ÓSSEA DA DIÁFISE TIBIAL,77.0
96,TRATAMENTO CIRÚRGICO DE PÉ PLANO VALGO,20.0
97,TRATAMENTO CIRÚRGICO DE SINOSTOSE RÁDIO ULNAR,123.0
98,TRATAMENTO CONSERVADOR DE FRATURA DE OSSO METACÁRPICO,38.0
99,TRATAMENTO DAS LESÕES OSTEO-CONDRAIS POR FIXAÇÃO OU MOSAICOPLASTIA JOELHO/TORNOZELO,70.0
100,TRATAMENTO MICROCIRURGICO DE TUMOR DE NERVO PERIFERICO / NEUROMA,67.0
101,URETEROLITOTOMIA,35.0
